rattlesnake|crovir-protein-6564	human|NP_000952.1
rattlesnake|crovir-protein-858	human|NP_001268372.1
rattlesnake|crovir-protein-6209	human|NP_001316613.1
rattlesnake|crovir-protein-6208	human|NP_002215.2
rattlesnake|crovir-protein-6759	human|NP_077005.2
rattlesnake|crovir-protein-6758	human|NP_001165419.1
rattlesnake|crovir-protein-6205	human|NP_001244286.1
rattlesnake|crovir-protein-6756	human|XP_005259555.1
rattlesnake|crovir-protein-6755	human|XP_005259555.1
rattlesnake|crovir-protein-6754	human|NP_524558.1
rattlesnake|crovir-protein-6201	human|NP_001278478.1
rattlesnake|crovir-protein-6200	human|NP_003008.1
rattlesnake|crovir-protein-6751	human|NP_951009.1
rattlesnake|crovir-protein-6202	human|NP_001186088.1
rattlesnake|crovir-protein-10964	human|XP_005247472.1
rattlesnake|crovir-protein-11888	human|NP_775489.2
rattlesnake|crovir-protein-4590	human|NP_001341706.1
rattlesnake|crovir-protein-6483	human|XP_011526990.1
rattlesnake|crovir-protein-12604	human|NP_003603.1
rattlesnake|crovir-protein-6482	human|XP_016883228.1
rattlesnake|crovir-protein-13289	human|NP_060501.3
rattlesnake|crovir-protein-9148	human|NP_061959.2
rattlesnake|crovir-protein-6480	human|XP_011526990.1
rattlesnake|crovir-protein-17291	human|NP_001005464.1
rattlesnake|crovir-protein-13385	human|NP_001230199.1
rattlesnake|crovir-protein-13384	human|NP_001276009.1
rattlesnake|crovir-protein-15354	human|NP_001001.2
rattlesnake|crovir-protein-15355	human|NP_065077.1
rattlesnake|crovir-protein-15356	human|NP_004520.2
rattlesnake|crovir-protein-15357	human|NP_001010887.2
rattlesnake|crovir-protein-15350	human|NP_071443.2
rattlesnake|crovir-protein-15351	human|NP_036601.2
rattlesnake|crovir-protein-15352	human|NP_004927.2
rattlesnake|crovir-protein-15353	human|NP_002442.2
rattlesnake|crovir-protein-13386	human|NP_057386.2
rattlesnake|crovir-protein-15358	human|NP_060115.3
rattlesnake|crovir-protein-15359	human|XP_016869748.1
rattlesnake|crovir-protein-665	human|XP_011538856.2
rattlesnake|crovir-protein-7176	human|NP_055724.1
rattlesnake|crovir-protein-7177	human|XP_011534849.1
rattlesnake|crovir-protein-17368	human|NP_061935.1
rattlesnake|crovir-protein-7170	human|NP_443105.2
rattlesnake|crovir-protein-7171	human|NP_067080.1
rattlesnake|crovir-protein-11112	human|NP_001339938.1
rattlesnake|crovir-protein-11525	human|NP_997274.2
rattlesnake|crovir-protein-11110	human|NP_001339938.1
rattlesnake|crovir-protein-11111	human|NP_001339938.1
rattlesnake|crovir-protein-11116	human|NP_002193.2
rattlesnake|crovir-protein-15954	human|NP_775188.1
rattlesnake|crovir-protein-8928	human|XP_016866048.1
rattlesnake|crovir-protein-8929	human|NP_001186846.1
rattlesnake|crovir-protein-8926	human|NP_001554.2
rattlesnake|crovir-protein-8927	human|NP_219479.2
rattlesnake|crovir-protein-8924	human|XP_005248776.1
rattlesnake|crovir-protein-11119	human|NP_000736.2
rattlesnake|crovir-protein-8922	human|NP_003309.2
rattlesnake|crovir-protein-8923	human|NP_000047.1
rattlesnake|crovir-protein-8920	human|NP_060103.2
rattlesnake|crovir-protein-8921	human|XP_006715516.1
rattlesnake|crovir-protein-11884	human|XP_006719627.1
rattlesnake|crovir-protein-2120	human|XP_005273982.1
rattlesnake|crovir-protein-2121	human|NP_001138502.1
rattlesnake|crovir-protein-2122	human|NP_001269842.1
rattlesnake|crovir-protein-2123	human|NP_001034200.1
rattlesnake|crovir-protein-2124	human|XP_016880060.1
rattlesnake|crovir-protein-2126	human|XP_011531718.1
rattlesnake|crovir-protein-2127	human|NP_055956.1
rattlesnake|crovir-protein-2128	human|NP_001243671.1
rattlesnake|crovir-protein-11398	human|NP_005304.3
rattlesnake|crovir-protein-11399	human|NP_001308856.1
rattlesnake|crovir-protein-6628	human|XP_011534183.1
rattlesnake|crovir-protein-16675	human|NP_056232.2
rattlesnake|crovir-protein-11394	human|NP_004381.2
rattlesnake|crovir-protein-4501	human|XP_016863827.1
rattlesnake|crovir-protein-11395	human|NP_005900.2
rattlesnake|crovir-protein-16048	human|NP_149989.2
rattlesnake|crovir-protein-6625	human|NP_057129.2
rattlesnake|crovir-protein-16463	human|XP_011536932.2
rattlesnake|crovir-protein-16462	human|NP_002421.3
rattlesnake|crovir-protein-16461	human|NP_000487.1
rattlesnake|crovir-protein-11397	human|XP_005254963.1
rattlesnake|crovir-protein-16467	human|NP_057517.1
rattlesnake|crovir-protein-805	human|NP_689694.1
rattlesnake|crovir-protein-16465	human|NP_001127839.2
rattlesnake|crovir-protein-16464	human|NP_001073007.1
rattlesnake|crovir-protein-6623	human|NP_006077.2
rattlesnake|crovir-protein-16469	human|NP_001008697.1
rattlesnake|crovir-protein-16468	human|NP_476510.1
rattlesnake|crovir-protein-11391	human|NP_003749.2
rattlesnake|crovir-protein-6621	human|NP_542403.1
rattlesnake|crovir-protein-14008	human|XP_016865149.1
rattlesnake|crovir-protein-8480	human|NP_057731.1
rattlesnake|crovir-protein-11393	human|NP_057480.2
rattlesnake|crovir-protein-2438	human|NP_060422.4
rattlesnake|crovir-protein-2439	human|NP_085053.1
rattlesnake|crovir-protein-2436	human|NP_008909.1
rattlesnake|crovir-protein-2437	human|NP_976226.1
rattlesnake|crovir-protein-2434	human|NP_057163.1
rattlesnake|crovir-protein-2435	human|NP_005819.3
rattlesnake|crovir-protein-2432	human|NP_005658.1
rattlesnake|crovir-protein-2433	human|XP_005264559.1
rattlesnake|crovir-protein-2430	human|XP_005265917.1
rattlesnake|crovir-protein-2431	human|NP_006830.2
rattlesnake|crovir-protein-5331	human|NP_004743.1
rattlesnake|crovir-protein-9327	human|NP_003721.2
rattlesnake|crovir-protein-9326	human|NP_660152.1
rattlesnake|crovir-protein-9325	human|XP_006715612.1
rattlesnake|crovir-protein-9324	human|XP_011533811.1
rattlesnake|crovir-protein-9323	human|XP_011533689.2
rattlesnake|crovir-protein-9320	human|XP_011534382.1
rattlesnake|crovir-protein-12069	human|NP_060060.3
rattlesnake|crovir-protein-14387	human|NP_001338193.1
rattlesnake|crovir-protein-4748	human|NP_997213.1
rattlesnake|crovir-protein-9329	human|NP_003049.2
rattlesnake|crovir-protein-9328	human|XP_006715612.1
rattlesnake|crovir-protein-15556	human|NP_002308.2
rattlesnake|crovir-protein-17342	human|XP_011539386.1
rattlesnake|crovir-protein-5479	human|NP_115662.2
rattlesnake|crovir-protein-5478	human|NP_060225.4
rattlesnake|crovir-protein-5477	human|NP_002900.2
rattlesnake|crovir-protein-5476	human|NP_056140.1
rattlesnake|crovir-protein-5475	human|NP_056140.1
rattlesnake|crovir-protein-5337	human|NP_663624.1
rattlesnake|crovir-protein-5473	human|NP_620687.2
rattlesnake|crovir-protein-15554	human|NP_003091.2
rattlesnake|crovir-protein-5471	human|NP_077313.3
rattlesnake|crovir-protein-5470	human|NP_001127694.1
rattlesnake|crovir-protein-15555	human|NP_001287712.1
rattlesnake|crovir-protein-12068	human|NP_001420.2
rattlesnake|crovir-protein-185	human|NP_067650.1
rattlesnake|crovir-protein-15553	human|XP_011541651.1
rattlesnake|crovir-protein-4878	human|NP_997389.2
rattlesnake|crovir-protein-4879	human|NP_006429.2
rattlesnake|crovir-protein-10884	human|XP_011511447.2
rattlesnake|crovir-protein-17348	human|XP_005250037.1
rattlesnake|crovir-protein-4870	human|NP_071328.2
rattlesnake|crovir-protein-4871	human|NP_066933.1
rattlesnake|crovir-protein-4872	human|NP_073620.2
rattlesnake|crovir-protein-4873	human|XP_006716647.1
rattlesnake|crovir-protein-4874	human|XP_006716684.1
rattlesnake|crovir-protein-4740	human|NP_073743.2
rattlesnake|crovir-protein-4876	human|NP_002505.1
rattlesnake|crovir-protein-10882	human|NP_000046.1
rattlesnake|crovir-protein-3057	human|NP_892030.3
rattlesnake|crovir-protein-2854	human|XP_011524790.1
rattlesnake|crovir-protein-3056	human|XP_011544282.1
rattlesnake|crovir-protein-4746	human|NP_783318.1
rattlesnake|crovir-protein-3507	human|NP_116185.2
rattlesnake|crovir-protein-4747	human|XP_005248178.1
rattlesnake|crovir-protein-1316	human|NP_001275693.1
rattlesnake|crovir-protein-1317	human|NP_078772.1
rattlesnake|crovir-protein-1312	human|NP_005973.1
rattlesnake|crovir-protein-1313	human|XP_016882424.1
rattlesnake|crovir-protein-1310	human|NP_001139373.1
rattlesnake|crovir-protein-1311	human|NP_036369.2
rattlesnake|crovir-protein-3053	human|NP_005872.2
rattlesnake|crovir-protein-4033	human|XP_005271770.1
rattlesnake|crovir-protein-1318	human|NP_004487.2
rattlesnake|crovir-protein-1319	human|NP_004470.1
rattlesnake|crovir-protein-3502	human|XP_016885370.1
rattlesnake|crovir-protein-14003	human|NP_001123363.1
rattlesnake|crovir-protein-8487	human|NP_604391.1
rattlesnake|crovir-protein-16074	human|NP_055484.3
rattlesnake|crovir-protein-16075	human|NP_060703.3
rattlesnake|crovir-protein-16076	human|NP_000330.2
rattlesnake|crovir-protein-16077	human|NP_620073.2
rattlesnake|crovir-protein-16070	human|NP_060848.2
rattlesnake|crovir-protein-16071	human|NP_074036.1
rattlesnake|crovir-protein-16072	human|XP_006721347.1
rattlesnake|crovir-protein-16073	human|XP_005278336.1
rattlesnake|crovir-protein-16078	human|NP_055484.3
rattlesnake|crovir-protein-16079	human|NP_055484.3
rattlesnake|crovir-protein-11934	human|NP_006174.1
rattlesnake|crovir-protein-9556	human|NP_113610.2
rattlesnake|crovir-protein-11935	human|XP_024304698.1
rattlesnake|crovir-protein-14002	human|NP_005556.1
rattlesnake|crovir-protein-13663	human|NP_006536.3
rattlesnake|crovir-protein-491	human|NP_002729.2
rattlesnake|crovir-protein-3508	human|NP_060830.2
rattlesnake|crovir-protein-1970	human|NP_001339425.1
rattlesnake|crovir-protein-11681	human|NP_056195.3
rattlesnake|crovir-protein-12196	human|NP_076962.2
rattlesnake|crovir-protein-497	human|NP_115647.2
rattlesnake|crovir-protein-1741	human|XP_024308922.1
rattlesnake|crovir-protein-6522	human|NP_003395.1
rattlesnake|crovir-protein-11687	human|NP_055385.3
rattlesnake|crovir-protein-12194	human|NP_002665.2
rattlesnake|crovir-protein-9645	human|NP_006390.1
rattlesnake|crovir-protein-12379	human|NP_005576.3
rattlesnake|crovir-protein-6524	human|NP_002559.2
rattlesnake|crovir-protein-11933	human|NP_008913.2
rattlesnake|crovir-protein-2599	human|XP_005257516.1
rattlesnake|crovir-protein-6525	human|NP_003055.1
rattlesnake|crovir-protein-686	human|NP_001036189.1
rattlesnake|crovir-protein-8497	human|XP_011509306.1
rattlesnake|crovir-protein-684	human|NP_001036189.1
rattlesnake|crovir-protein-685	human|NP_001007.2
rattlesnake|crovir-protein-8492	human|XP_011509080.1
rattlesnake|crovir-protein-8493	human|NP_005039.1
rattlesnake|crovir-protein-8490	human|NP_078808.3
rattlesnake|crovir-protein-681	human|XP_011525101.1
rattlesnake|crovir-protein-12375	human|NP_001316544.1
rattlesnake|crovir-protein-8498	human|NP_001073969.1
rattlesnake|crovir-protein-689	human|NP_001036189.1
rattlesnake|crovir-protein-4694	human|NP_001864.1
rattlesnake|crovir-protein-17216	human|NP_001005173.3
rattlesnake|crovir-protein-17215	human|NP_001005288.1
rattlesnake|crovir-protein-4697	human|XP_016863746.1
rattlesnake|crovir-protein-17213	human|NP_001005238.1
rattlesnake|crovir-protein-17212	human|NP_110401.1
rattlesnake|crovir-protein-17211	human|NP_001005238.1
rattlesnake|crovir-protein-17210	human|NP_001005163.1
rattlesnake|crovir-protein-13661	human|NP_733832.1
rattlesnake|crovir-protein-11938	human|XP_016874376.1
rattlesnake|crovir-protein-13287	human|XP_005265326.1
rattlesnake|crovir-protein-4699	human|NP_002660.1
rattlesnake|crovir-protein-17219	human|NP_079500.2
rattlesnake|crovir-protein-17218	human|XP_024307683.1
rattlesnake|crovir-protein-6924	human|NP_001124173.1
rattlesnake|crovir-protein-6433	human|XP_011515533.1
rattlesnake|crovir-protein-6430	human|NP_008858.1
rattlesnake|crovir-protein-6927	human|NP_001295049.1
rattlesnake|crovir-protein-6436	human|NP_057520.2
rattlesnake|crovir-protein-6921	human|XP_006720071.1
rattlesnake|crovir-protein-6434	human|XP_005250982.1
rattlesnake|crovir-protein-6435	human|NP_079527.1
rattlesnake|crovir-protein-6438	human|XP_006723900.1
rattlesnake|crovir-protein-6439	human|NP_909122.1
rattlesnake|crovir-protein-6928	human|NP_060392.3
rattlesnake|crovir-protein-6929	human|NP_001013758.1
rattlesnake|crovir-protein-6922	human|NP_932332.1
rattlesnake|crovir-protein-2610	human|NP_001129970.1
rattlesnake|crovir-protein-12042	human|NP_079105.4
rattlesnake|crovir-protein-4888	human|NP_054831.2
rattlesnake|crovir-protein-7099	human|NP_001189358.1
rattlesnake|crovir-protein-8140	human|NP_004600.2
rattlesnake|crovir-protein-8141	human|NP_001303278.1
rattlesnake|crovir-protein-8142	human|NP_008826.1
rattlesnake|crovir-protein-8143	human|NP_008826.1
rattlesnake|crovir-protein-8144	human|NP_002236.1
rattlesnake|crovir-protein-8145	human|NP_061027.2
rattlesnake|crovir-protein-8146	human|NP_001303278.1
rattlesnake|crovir-protein-8147	human|NP_001303278.1
rattlesnake|crovir-protein-8148	human|XP_006713873.1
rattlesnake|crovir-protein-8149	human|NP_000364.1
rattlesnake|crovir-protein-8005	human|NP_006727.2
rattlesnake|crovir-protein-8004	human|NP_006727.2
rattlesnake|crovir-protein-8007	human|NP_001306045.1
rattlesnake|crovir-protein-8006	human|XP_016860098.1
rattlesnake|crovir-protein-12148	human|XP_005261565.1
rattlesnake|crovir-protein-8000	human|XP_006712793.1
rattlesnake|crovir-protein-8003	human|NP_001918.3
rattlesnake|crovir-protein-8002	human|XP_005249572.1
rattlesnake|crovir-protein-12592	human|NP_005611.1
rattlesnake|crovir-protein-12591	human|NP_001021.1
rattlesnake|crovir-protein-12590	human|NP_004282.1
rattlesnake|crovir-protein-8009	human|NP_006727.2
rattlesnake|crovir-protein-8008	human|NP_001306045.1
rattlesnake|crovir-protein-12594	human|NP_001242907.1
rattlesnake|crovir-protein-10922	human|NP_076956.1
rattlesnake|crovir-protein-16926	human|NP_001257446.1
rattlesnake|crovir-protein-16927	human|NP_055889.2
rattlesnake|crovir-protein-16924	human|NP_001108588.1
rattlesnake|crovir-protein-16925	human|NP_065105.2
rattlesnake|crovir-protein-16922	human|NP_001013652.1
rattlesnake|crovir-protein-11328	human|NP_001262.3
rattlesnake|crovir-protein-16920	human|NP_001138749.1
rattlesnake|crovir-protein-16921	human|NP_061867.1
rattlesnake|crovir-protein-11325	human|XP_016878131.1
rattlesnake|crovir-protein-11324	human|NP_001262.3
rattlesnake|crovir-protein-11327	human|NP_037404.2
rattlesnake|crovir-protein-11326	human|NP_001309960.1
rattlesnake|crovir-protein-11321	human|NP_001308604.1
rattlesnake|crovir-protein-11320	human|NP_001128522.1
rattlesnake|crovir-protein-11323	human|XP_005271923.1
rattlesnake|crovir-protein-11322	human|XP_011519873.1
rattlesnake|crovir-protein-9646	human|XP_011508019.1
rattlesnake|crovir-protein-2617	human|XP_016880658.1
rattlesnake|crovir-protein-10186	human|XP_005269606.1
rattlesnake|crovir-protein-10187	human|NP_000420.1
rattlesnake|crovir-protein-10184	human|NP_067008.3
rattlesnake|crovir-protein-2598	human|XP_024306664.1
rattlesnake|crovir-protein-10182	human|NP_997201.1
rattlesnake|crovir-protein-10183	human|NP_006500.2
rattlesnake|crovir-protein-10180	human|NP_997255.2
rattlesnake|crovir-protein-10181	human|XP_016871062.1
rattlesnake|crovir-protein-10188	human|XP_005269606.1
rattlesnake|crovir-protein-10189	human|XP_016872264.1
rattlesnake|crovir-protein-5547	human|NP_065397.3
rattlesnake|crovir-protein-14749	human|NP_776246.1
rattlesnake|crovir-protein-12066	human|XP_011528247.1
rattlesnake|crovir-protein-14740	human|NP_001107595.1
rattlesnake|crovir-protein-14741	human|NP_008881.2
rattlesnake|crovir-protein-14742	human|NP_705582.1
rattlesnake|crovir-protein-14743	human|NP_001138724.1
rattlesnake|crovir-protein-14744	human|NP_001269095.1
rattlesnake|crovir-protein-14745	human|NP_006832.1
rattlesnake|crovir-protein-14746	human|XP_024303552.1
rattlesnake|crovir-protein-14747	human|NP_001073369.1
rattlesnake|crovir-protein-2674	human|NP_004151.3
rattlesnake|crovir-protein-6698	human|NP_037414.3
rattlesnake|crovir-protein-6699	human|NP_001340926.1
rattlesnake|crovir-protein-6697	human|NP_000086.2
rattlesnake|crovir-protein-6694	human|NP_001291972.1
rattlesnake|crovir-protein-6695	human|NP_001091952.1
rattlesnake|crovir-protein-6692	human|XP_016874755.1
rattlesnake|crovir-protein-2900	human|NP_665813.1
rattlesnake|crovir-protein-6690	human|NP_001332910.1
rattlesnake|crovir-protein-6691	human|NP_005184.1
rattlesnake|crovir-protein-7343	human|NP_001070736.1
rattlesnake|crovir-protein-7342	human|NP_001238978.1
rattlesnake|crovir-protein-7341	human|NP_857593.1
rattlesnake|crovir-protein-7340	human|NP_001157741.1
rattlesnake|crovir-protein-7347	human|NP_001074260.1
rattlesnake|crovir-protein-7346	human|XP_016877890.1
rattlesnake|crovir-protein-7345	human|NP_001310825.1
rattlesnake|crovir-protein-7344	human|NP_005249.1
rattlesnake|crovir-protein-2670	human|NP_115984.3
rattlesnake|crovir-protein-7349	human|NP_001032238.1
rattlesnake|crovir-protein-7348	human|NP_001108104.1
rattlesnake|crovir-protein-2671	human|NP_079513.1
rattlesnake|crovir-protein-17125	human|NP_071387.1
rattlesnake|crovir-protein-7257	human|NP_612145.2
rattlesnake|crovir-protein-10458	human|NP_003741.1
rattlesnake|crovir-protein-10459	human|NP_006784.1
rattlesnake|crovir-protein-12444	human|NP_001138408.1
rattlesnake|crovir-protein-10454	human|NP_009121.1
rattlesnake|crovir-protein-10455	human|NP_055752.1
rattlesnake|crovir-protein-10456	human|NP_001005339.1
rattlesnake|crovir-protein-10457	human|NP_005299.1
rattlesnake|crovir-protein-SVMP_10	human|NP_055080.2
rattlesnake|crovir-protein-12447	human|NP_001129071.1
rattlesnake|crovir-protein-10452	human|NP_001029097.1
rattlesnake|crovir-protein-10453	human|NP_079110.1
rattlesnake|crovir-protein-8984	human|NP_002717.3
rattlesnake|crovir-protein-12446	human|XP_005273996.1
rattlesnake|crovir-protein-13248	human|NP_976038.1
rattlesnake|crovir-protein-13249	human|NP_001244946.1
rattlesnake|crovir-protein-14298	human|NP_002908.1
rattlesnake|crovir-protein-3276	human|NP_005699.1
rattlesnake|crovir-protein-13244	human|NP_001275729.1
rattlesnake|crovir-protein-17121	human|NP_001990.2
rattlesnake|crovir-protein-14294	human|NP_001002244.1
rattlesnake|crovir-protein-13247	human|NP_001341782.1
rattlesnake|crovir-protein-14560	human|NP_001191047.1
rattlesnake|crovir-protein-14561	human|NP_066978.1
rattlesnake|crovir-protein-14562	human|XP_011521915.1
rattlesnake|crovir-protein-14291	human|NP_005773.3
rattlesnake|crovir-protein-14390	human|NP_055888.1
rattlesnake|crovir-protein-17123	human|NP_005844.4
rattlesnake|crovir-protein-8980	human|NP_068775.1
rattlesnake|crovir-protein-12442	human|NP_006437.3
rattlesnake|crovir-protein-3272	human|NP_056009.1
rattlesnake|crovir-protein-2335	human|NP_057494.3
rattlesnake|crovir-protein-2334	human|NP_060610.2
rattlesnake|crovir-protein-2336	human|NP_004314.5
rattlesnake|crovir-protein-14395	human|NP_004646.3
rattlesnake|crovir-protein-16678	human|NP_001269058.1
rattlesnake|crovir-protein-16679	human|NP_001005850.2
rattlesnake|crovir-protein-16676	human|NP_060621.3
rattlesnake|crovir-protein-16677	human|XP_024306434.1
rattlesnake|crovir-protein-16674	human|NP_057371.2
rattlesnake|crovir-protein-3270	human|NP_006215.1
rattlesnake|crovir-protein-16672	human|NP_001096631.1
rattlesnake|crovir-protein-2338	human|NP_004165.2
rattlesnake|crovir-protein-16670	human|NP_963860.1
rattlesnake|crovir-protein-16671	human|NP_005207.2
rattlesnake|crovir-protein-13106	human|NP_001158303.1
rattlesnake|crovir-protein-17129	human|NP_001186713.1
rattlesnake|crovir-protein-3898	human|NP_003769.1
rattlesnake|crovir-protein-10375	human|NP_004079.3
rattlesnake|crovir-protein-12448	human|XP_005273996.1
rattlesnake|crovir-protein-3426	human|NP_056988.3
rattlesnake|crovir-protein-3427	human|NP_660213.1
rattlesnake|crovir-protein-3424	human|XP_016859802.1
rattlesnake|crovir-protein-3425	human|XP_011510236.1
rattlesnake|crovir-protein-3422	human|XP_005263980.1
rattlesnake|crovir-protein-3423	human|XP_016859802.1
rattlesnake|crovir-protein-3420	human|NP_783862.2
rattlesnake|crovir-protein-3421	human|XP_011508883.1
rattlesnake|crovir-protein-13131	human|NP_004372.3
rattlesnake|crovir-protein-1621	human|XP_006720960.1
rattlesnake|crovir-protein-3428	human|NP_001008216.1
rattlesnake|crovir-protein-3756	human|NP_057290.2
rattlesnake|crovir-protein-16584	human|XP_005256578.1
rattlesnake|crovir-protein-16585	human|NP_002310.2
rattlesnake|crovir-protein-16586	human|NP_001157683.1
rattlesnake|crovir-protein-16587	human|XP_006719084.1
rattlesnake|crovir-protein-16581	human|XP_011527583.1
rattlesnake|crovir-protein-15169	human|NP_001073947.1
rattlesnake|crovir-protein-11355	human|NP_001307804.1
rattlesnake|crovir-protein-15167	human|NP_001188258.1
rattlesnake|crovir-protein-15166	human|NP_001385.1
rattlesnake|crovir-protein-15164	human|NP_001290343.1
rattlesnake|crovir-protein-15163	human|NP_001290343.1
rattlesnake|crovir-protein-16589	human|NP_003259.2
rattlesnake|crovir-protein-15161	human|NP_001290343.1
rattlesnake|crovir-protein-15160	human|NP_004436.4
rattlesnake|crovir-protein-10537	human|NP_112174.2
rattlesnake|crovir-protein-10536	human|XP_016871749.1
rattlesnake|crovir-protein-10534	human|NP_001077382.1
rattlesnake|crovir-protein-10533	human|NP_001129672.1
rattlesnake|crovir-protein-10532	human|NP_060119.3
rattlesnake|crovir-protein-10531	human|NP_001338099.1
rattlesnake|crovir-protein-10530	human|NP_000093.1
rattlesnake|crovir-protein-4648	human|XP_011512123.1
rattlesnake|crovir-protein-10538	human|XP_024303560.1
rattlesnake|crovir-protein-2847	human|NP_001161792.1
rattlesnake|crovir-protein-2846	human|NP_004025.1
rattlesnake|crovir-protein-2845	human|XP_005259492.1
rattlesnake|crovir-protein-300	human|NP_059488.2
rattlesnake|crovir-protein-307	human|NP_001032242.1
rattlesnake|crovir-protein-2842	human|XP_005265733.1
rattlesnake|crovir-protein-2841	human|XP_005265733.1
rattlesnake|crovir-protein-2840	human|NP_006579.2
rattlesnake|crovir-protein-2591	human|XP_024302075.1
rattlesnake|crovir-protein-2590	human|NP_570969.2
rattlesnake|crovir-protein-2593	human|NP_570969.2
rattlesnake|crovir-protein-2592	human|XP_005265733.1
rattlesnake|crovir-protein-2594	human|NP_001317627.1
rattlesnake|crovir-protein-2597	human|NP_036364.2
rattlesnake|crovir-protein-2848	human|NP_001527.3
rattlesnake|crovir-protein-13128	human|NP_004883.3
rattlesnake|crovir-protein-16923	human|NP_002841.3
rattlesnake|crovir-protein-5312	human|NP_000323.2
rattlesnake|crovir-protein-5313	human|NP_006357.1
rattlesnake|crovir-protein-5310	human|NP_006868.3
rattlesnake|crovir-protein-5311	human|NP_037394.2
rattlesnake|crovir-protein-5640	human|NP_000252.1
rattlesnake|crovir-protein-5317	human|NP_001137414.1
rattlesnake|crovir-protein-5314	human|XP_011513022.1
rattlesnake|crovir-protein-5643	human|NP_001334629.1
rattlesnake|crovir-protein-5318	human|NP_001158730.1
rattlesnake|crovir-protein-5319	human|NP_001265138.1
rattlesnake|crovir-protein-5648	human|NP_001116242.1
rattlesnake|crovir-protein-5649	human|XP_016856541.1
rattlesnake|crovir-protein-12142	human|NP_006069.1
rattlesnake|crovir-protein-16517	human|XP_011523241.1
rattlesnake|crovir-protein-11668	human|NP_056468.3
rattlesnake|crovir-protein-11669	human|NP_001622.2
rattlesnake|crovir-protein-11918	human|XP_005268859.1
rattlesnake|crovir-protein-11919	human|XP_005268859.1
rattlesnake|crovir-protein-11912	human|XP_011536676.1
rattlesnake|crovir-protein-11661	human|NP_689967.2
rattlesnake|crovir-protein-11910	human|NP_001129277.1
rattlesnake|crovir-protein-11025	human|NP_004489.1
rattlesnake|crovir-protein-11916	human|XP_005268859.1
rattlesnake|crovir-protein-11665	human|NP_683515.4
rattlesnake|crovir-protein-11666	human|NP_036563.1
rattlesnake|crovir-protein-11915	human|XP_016874762.1
rattlesnake|crovir-protein-4993	human|NP_008944.1
rattlesnake|crovir-protein-4992	human|NP_000058.1
rattlesnake|crovir-protein-4991	human|NP_003900.1
rattlesnake|crovir-protein-4990	human|NP_061971.3
rattlesnake|crovir-protein-4997	human|NP_005172.1
rattlesnake|crovir-protein-4996	human|NP_620172.2
rattlesnake|crovir-protein-4995	human|NP_001093140.1
rattlesnake|crovir-protein-2271	human|NP_001036227.1
rattlesnake|crovir-protein-4999	human|NP_001942.2
rattlesnake|crovir-protein-4998	human|XP_016869409.1
rattlesnake|crovir-protein-9731	human|NP_149103.1
rattlesnake|crovir-protein-16731	human|NP_002102.4
rattlesnake|crovir-protein-16730	human|NP_001036155.1
rattlesnake|crovir-protein-14241	human|NP_835454.1
rattlesnake|crovir-protein-16737	human|NP_060793.2
rattlesnake|crovir-protein-2275	human|XP_016867902.1
rattlesnake|crovir-protein-12355	human|NP_203524.1
rattlesnake|crovir-protein-12354	human|NP_061156.1
rattlesnake|crovir-protein-12357	human|NP_789795.1
rattlesnake|crovir-protein-12356	human|NP_009123.1
rattlesnake|crovir-protein-12351	human|NP_009123.1
rattlesnake|crovir-protein-2276	human|NP_002622.2
rattlesnake|crovir-protein-12352	human|NP_064693.2
rattlesnake|crovir-protein-8576	human|XP_016866722.1
rattlesnake|crovir-protein-1814	human|XP_016884318.1
rattlesnake|crovir-protein-1817	human|NP_062565.2
rattlesnake|crovir-protein-1816	human|NP_062565.2
rattlesnake|crovir-protein-12359	human|XP_011520428.1
rattlesnake|crovir-protein-1810	human|XP_011518045.1
rattlesnake|crovir-protein-1813	human|XP_024303592.1
rattlesnake|crovir-protein-1812	human|XP_011518045.1
rattlesnake|crovir-protein-3892	human|NP_689752.2
rattlesnake|crovir-protein-1469	human|NP_065944.2
rattlesnake|crovir-protein-12145	human|XP_011528205.1
rattlesnake|crovir-protein-8795	human|NP_997198.2
rattlesnake|crovir-protein-8794	human|NP_542388.2
rattlesnake|crovir-protein-8797	human|NP_001339610.1
rattlesnake|crovir-protein-8796	human|NP_001336110.1
rattlesnake|crovir-protein-8791	human|NP_001008238.1
rattlesnake|crovir-protein-8793	human|XP_005262677.1
rattlesnake|crovir-protein-8792	human|NP_055528.1
rattlesnake|crovir-protein-8799	human|NP_001335658.1
rattlesnake|crovir-protein-8798	human|XP_016871814.1
rattlesnake|crovir-protein-14243	human|NP_078861.1
rattlesnake|crovir-protein-9932	human|NP_542159.3
rattlesnake|crovir-protein-4799	human|NP_001315548.1
rattlesnake|crovir-protein-10095	human|XP_011539410.2
rattlesnake|crovir-protein-1305	human|NP_004588.1
rattlesnake|crovir-protein-9930	human|NP_115993.3
rattlesnake|crovir-protein-16513	human|XP_011523241.1
rattlesnake|crovir-protein-1903	human|XP_016872416.1
rattlesnake|crovir-protein-9427	human|NP_006490.3
rattlesnake|crovir-protein-9734	human|NP_071338.1
rattlesnake|crovir-protein-9936	human|NP_001159711.1
rattlesnake|crovir-protein-9937	human|XP_024307683.1
rattlesnake|crovir-protein-13406	human|NP_060918.2
rattlesnake|crovir-protein-13407	human|NP_001107564.1
rattlesnake|crovir-protein-13404	human|NP_064550.3
rattlesnake|crovir-protein-13405	human|NP_000542.1
rattlesnake|crovir-protein-13402	human|XP_016861999.1
